"msg_code","vendor_msg_class","vendor_text_msg","vendor_text_msg_description","vendor_severity"
"5413","Failed-Attempt","RADIUS Accounting-Request dropped","RADIUS Accounting-Request dropped.","Notice"
"5414","Failed-Attempt","TACACS+ accounting has failed","TACACS+ accounting has failed. For more information, see the failure reason records.","Notice"
"5415","Failed-Attempt","Change password failed","User change password failed. See FailureReason for more information.","Notice"
"5416","Failed-Attempt","RADIUS PAP session cleaned up","The RADIUS PAP session has been cleaned up.","Notice"
"5417","Dynamic-Authorization","Dynamic Authorization failed","Dynamic Authorization failed.","Notice"
"5431","Guest","Guest Authentication Failed","Guest Authentication failed; please see Failure code for more details.","Notice"
"5432","Failed-Attempt","DACL Download Failed","DACL Download Failed.","Notice"
"5433","Failed-Attempt","SGA Data Download Failed","SGA Data Download Failed.","Notice"
"5434","Failed-Attempt","SGA Peer Policy Download Failed","SGA Peer Policy Download Failed.","Notice"
"5436","Failed-Attempt","Authorize-Only failed","Authorize-Only failed. See FailureReason for more information.","Notice"
"5437","Guest","Device Registration Web Authentication Failed","Device Registration Web Authentication Failed.","Notice"
"10000","AAC","Received Administrator authentication request","Handling incoming Administrator authentication request.","Debug"
"10001","AAC","Internal error. Incorrect configuration version","An internal error occurred: Undetermined configuration version.","Error"
"10002","AAC","Internal error: Failure to load appropriate service","Internal error: Failure to load AAC service.","Error"
"10003","AAC","Internal error: Administrator authentication received blank Administrator name","Internal error: AAC RT component received Administrator authentication request with blank Administrator name.","Error"
"10004","AAC","Internal error: Administrator authentication received blank Administrator password","Internal error: AAC RT component received an Administrator authentication request with blank admin password.","Error"
"10005","AAC","Administrator authenticated successfully","Administrator authenticated successfully.","Info"
"10006","AAC","Administrator authentication failed","Administrator authentication failed.","Info"
"10007","AAC","Administrator authentication failed - DB Error","Administrator authentication failed - DB Error.","Error"
"10008","AAC","Received valid Administrator authentication request","Received valid Administrator authentication request.","Debug"
"10009","AAC","Received Administrator authentication request","Successfully performed service selection.","Debug"
"10010","AAC","Admin password change reminder","Reminder - Please change the admin password.","Info"
"10011","AAC","Admin password change required due to expired password","Admin password has expired -Please change it.","Info"
"10012","AAC","Admin password change required due to account inactivity","Due to admin account inactivity the admin password must be changed.","Info"
"10013","AAC","Admin account set as 'never disabled","Admin account can not be disabled since 'never disable' option is set.","Info"
"10014","AAC","Admin account set to change password on next login","Admin account is set to change password at the next login.","Info"
"11001","RADIUS","Received RADIUS Access-Request","Received RADIUS Access-Request.","Debug"
"11002","RADIUS","Returned RADIUS Access-Accept","Returned RADIUS Access-Accept - authentication succeeded.","Debug"
"11003","RADIUS","Returned RADIUS Access-Reject","Returned RADIUS Access-Reject - authentication failed.","Debug"
"11004","RADIUS","Received RADIUS Accounting-Request","Received RADIUS Accounting-Request.","Debug"
"11005","RADIUS","Returned RADIUS Accounting-Response","Returned RADIUS Accounting-Response - acknowledging receipt of Accounting-Request.","Debug"
"11006","RADIUS","Returned RADIUS Access-Challenge","Returned RADIUS Access-Challenge asking for additional information.","Debug"
"11007","RADIUS","Could not locate Network Device or AAA Client","Could not find the network device or the AAA Client while accessing NAS by IP during authentication.","Debug"
"11008","RADIUS","Received Service-Type = Call Check (but there is no Calling-Station-ID)","Although the request contained a Service-Type attribute with the value, Call Check (10), the Host Lookup Use Case was not detected. This is because the Calling-Station-ID attribute was not present in the request.","Debug"
"11009","RADIUS","RADIUS listener started","Started listening for incoming RADIUS requests on ports 1812, 1813, 1645 and 1646.","Info"
"11010","RADIUS","RADIUS listener stopped","Stopped listening for RADIUS requests.","Info"
"11011","RADIUS","RADIUS listener failed","Could not open one or more of the ports used to receive RADIUS requests.","Warn"
"11012","RADIUS","RADIUS packet contains invalid header","The header of the RADIUS packet did not parse correctly.","Error"
"11013","RADIUS","RADIUS packet already in the process","Ignoring this request because it is a duplicate of another packet that is currently being processed.","Info"
"11014","RADIUS","RADIUS packet contains invalid attribute(s)","One of the attributes in the RADIUS packet did not parse correctly.","Error"
"11015","RADIUS","An Access-Request MUST contain either a NAS-IP-Address or a NAS-Identifier or both; Continue processing","According to the RADIUS standard, an Access-Request MUST contain either a NAS-IP-Address or a NAS-Identifier or both. This condition is ignored and processing continues.","Warn"
"11016","RADIUS","Translating EAP protocol result into RADIUS result","Translating EAP protocol result into RADIUS result.","Debug"
"11017","RADIUS","RADIUS created a new session","RADIUS created a new session for the request.","Debug"
"11018","RADIUS","RADIUS is re-using an existing session","RADIUS is re-using an existing session while processing this request.","Debug"
"11019","RADIUS","Selected DenyAccess Service","The Service Selection policy selected the DenyAccess Service.","Info"
"11020","RADIUS","RADIUS session authorization did not return a valid result","An unexpected error occurred. The RADIUS session authorization should return a valid result.","Error"
"11021","RADIUS","RADIUS could not decipher password. packet missing necessary attributes","RADIUS could not decipher password because the packet does not have the necessary attributes.","Error"
"11022","DACL","Added the dACL specified in the Authorization Profile","The Downloadable ACL (dACL) specified in the Authorization Profile, was added to the set of attributes that should be returned in the response.","Debug"
"11023","DACL","The requested dACL is not found. This is an unknown dACL name","Could not find the Downloadable ACL (dACL) specified in the Authorization Profile.","Warn"
"11024","DACL","The Access-Request for the requested dACL is missing a Message-Authenticator attribute. The request is rejected","The Access-Request does not have a Message-Authenticator attribute that is required for Downloadable ACL requests. The request is rejected because of this.","Error"
"11025","DACL","The Access-Request for the requested dACL is missing a cisco-av-pair attribute with the value aaa:event=acl-download. The request is rejected","The Access-Request is missing a cisco-av-pair attribute with the value aaa::event=acl-download that is required for Downloadable ACL requests. The request is rejected because of this.","Error"
"11026","DACL","The requested dACL is not found","The version of the Downloadable ACL requested in the Access-Request is not found. The request is rejected because of this.","Error"
"11027","RADIUS","Detected Host Lookup UseCase (Service-Type = Call Check (10))","Detected Host Lookup UseCase (Service-Type = Call Check (10)).","Debug"
"11028","RADIUS","Detected Host Lookup UseCase (UserName = Calling-Station-ID)","Detected Host Lookup UseCase (UserName = Calling-Station-ID).","Debug"
"11029","RADIUS","Unsupported RADIUS packet type","The RADIUS packet type is not supported by ISE.","Warn"
"11030","RADIUS","Pre-parsing of the RADIUS packet failed","Pre-parsing of the RADIUS packet failed. This packet does not appear to be a valid RADIUS packet.","Warn"
"11031","RADIUS","RADIUS packet type is not a valid Request","RADIUS packet type is not a valid Request.","Warn"
"11032","RADIUS","Selected Access Service type is not Device Administration","TACACS+ requests can only be processed by Access Services that are of type Device Administration.","Info"
"11033","RADIUS","Selected Service type is not Network Access","RADIUS requests can only be processed by Access Services that are of type Network Access.","Info"
"11034","RADIUS","Ignoring detection of Host Lookup UseCase (Service-Type = Call Check (10))","Process Host Lookup option was not enabled in the Allowed Protocols; so the earlier detection of Service-Type = Call Check (10) is ignored.","Debug"
"11035","DACL","The session associated with the requested dACL has timed out","The session associated with the requested Downloadable ACL (dACL) has timed out. The request is rejected.","Warn"
"11036","RADIUS","The Message-Authenticator RADIUS attribute is invalid","The Message-Authenticator RADIUS attribute is invalid. This maybe because of mismatched Shared Secrets.","Error"
"11037","RADIUS","Dropped accounting request received via unsupported port","Accounting request was dropped because it was received via an unsupported UDP port number.","Error"
"11038","RADIUS","RADIUS Accounting-Request header contains invalid Authenticator field","ISE cannot validate the Authenticator field in the header of the RADIUS Accounting-Request packet. Note that the Authenticator field should not be confused with the Message-Authenticator RADIUS attribute.","Error"
"11039","RADIUS","RADIUS authentication request rejected due to critical logging error","A RADIUS authentication request was rejected due to a critical logging error.","Info"
"11040","RADIUS","RADIUS accounting request dropped due to critical logging error","The RADIUS accounting request was dropped due to a critical logging error.","Info"
"11041","RADIUS","RADIUS PAP session timed out","A RADIUS PAP session timed out.","Warn"
"11042","RADIUS","Received duplicate RADIUS request; retransmitting previous response","Received a duplicate RADIUS request. Retransmitting the previously transmitted corresponding RADIUS response.","Debug"
"11043","RADIUS","Received RADIUS CoA request","Received RADIUS CoA request.","Debug"
"11044","RADIUS","Received RADIUS disconnect request","Received RADIUS disconnect request.","Debug"
"11045","RADIUS","Returned RADIUS CoA ACK","Returned RADIUS CoA ACK.","Debug"
"11046","RADIUS","Returned RADIUS CoA NAK","Returned RADIUS CoA NAK.","Debug"
"11047","RADIUS","Returned RADIUS disconnect ACK","Returned RADIUS disconnect ACK.","Debug"
"11048","RADIUS","Returned RADIUS disconnect NAK","Returned RADIUS disconnect NAK.","Debug"
"11049","RADIUS","Settings of RADIUS default network will be used","Settings of RADIUS default network will be used","Info"
"11050","RADIUS","RADIUS request dropped due to system overload","A RADIUS request was dropped due to system overload. This condition can be caused by too many parallel authentication requests.","Warn"
"11051","RADIUS","RADIUS packet contains invalid state attribute","The state attribute in the RADIUS packet did not match any active session.","Warn"
"11052","RADIUS","Authentication request dropped due to unsupported port number","An authentication request was dropped because it was received through an unsupported port number.","Error"
"11053","RADIUS","Invalid attributes in outgoing RADIUS packet - possibly some attributes exceeded their size limit","The RADIUS response packet is invalid. A likely reason is that at least one of the attributes has exceeded its allowed length or that the total size of the attributes attached to this response packet exceeded 4k (max RADIUS packet size).","Warn"
"11054","RADIUS","Request from a non-wireless device was dropped due to installed Wireless license","The RADIUS request from a non-wireless device was dropped because the installed license is for wireless devices only.","Warn"
"11055","RADIUS","User name change detected for the session. Attributes for the session will be removed from the cache","User name change detected for the session. Attributes for the session will be removed from the cache.","Info"
"11100","RADIUS-Client","RADIUS-Client about to send request","RADIUS-Client about to send request.","Debug"
"11101","RADIUS-Client","RADIUS-Client received response","RADIUS-Client received response.","Debug"
"11102","RADIUS-Client","RADIUS-Client silently discarded invalid response","RADIUS-Client silently discarded invalid response.","Debug"
"11103","RADIUS-Client","RADIUS-Client encountered error during processing flow","RADIUS-Client encountered error during processing flow.","Error"
"11104","RADIUS-Client","RADIUS-Client request timeout expired","RADIUS-Client request timeout expired.","Debug"
"11105","RADIUS-Client","Request received from a device that is configured with KeyWrap in ISE","Request received from a device that is configured with KeyWrap in ISE.","Debug"
"11106","RADIUS-Client","Error in KeyWrap configuration","Error in KeyWrap configuration.","Debug"
"11107","RADIUS-Client","Required attributes for KeyWrap are missing","Required attributes for KeyWrap are missing.","Debug"
"11108","RADIUS-Client","Missing required EapMessage attribute for KeyWrap","The RADIUS request from a KeyWrap enabled device is missing the required EapMessage attribute.","Debug"
"11109","RADIUS-Client","RADIUS request improperly contains both KeyWrap and MessageAuthenticator attributes","RADIUS request improperly contains both KeyWrap and MessageAuthenticator attributes.","Debug"
"11110","RADIUS-Client","Request received from a KeyWrap enabled device. The TunnelPassword attribute is present in KeyWrap","Request received from a KeyWrap enabled device. The TunnelPassword attribute is present in KeyWrap.","Debug"
"11111","RADIUS-Client","RADIUS request has been received with KeyWrap attributes. However, KeyWrap is not configured for the requesting device in ISE","RADIUS request has been received with KeyWrap attributes. However, KeyWrap is not configured for the requesting device in ISE.","Debug"
"11112","RADIUS-Client","KeyWrap keys accepted from PAC_OPAQUE","KeyWrap keys accepted from PAC_OPAQUE.","Debug"
"11113","RADIUS-Client","KeyWrap is not supported in Proxy","KeyWrap is not supported in Proxy.","Debug"
"11114","RADIUS-Client","KeyWrap parameters on RADIUS request packet are not compatible with the earlier KeyWrap request in this session.","KeyWrap parameters on RADIUS request packet are not compatible with the earlier KeyWrap request in this session.","Debug"
"11115","RADIUS","The AAA Client Message Authenticator Code Key does not match the configured ISE Server Message Authenticator Code Key.","The AAA Client Message Authenticator Code Key does not match the configured ISE Server Message Authenticator Code Key.","Error"
"11200","Dynamic-Authorization","Received invalid dynamic authorization request","An invalid dynamic authorization request was received.","Error"
"11201","Dynamic-Authorization","Received disconnect dynamic authorization request","A disconnect dynamic authorization request was received.","Debug"
"11202","Dynamic-Authorization","Received disconnect and port shutdown dynamic authorization request","A disconnect and port shutdown dynamic authorization request was received","Debug"
"11203","Dynamic-Authorization","Received disconnect and port bounce dynamic authorization request","A disconnect and port bounce dynamic authorization request was received.","Debug"
"11204","Dynamic-Authorization","Received reauthenticate request","A reauthenticate request was received.","Debug"
"11205","Dynamic-Authorization","Could not find Network Access Device","Cannot find the Network Access Device designated for applying dynamic authorization change.","Error"
"11206","Dynamic-Authorization","Could not find Client ISE Node","Cannot find the Client ISE Node.","Error"
"11207","Dynamic-Authorization","Received disconnect dynamic authorization response","A disconnect dynamic authorization response has been received.","Debug"
"11208","Dynamic-Authorization","Received disconnect and port shutdown dynamic authorization response","A disconnect and port shutdown dynamic authorization response has been received.","Debug"
"11209","Dynamic-Authorization","Received disconnect and port bounce dynamic authorization response","A disconnect and port bounce dynamic authorization response has been received.","Debug"
"11210","Dynamic-Authorization","Received a reauthenticate response","Received a reauthenticate response.","Debug"
"11211","Dynamic-Authorization","Proxying request to Dynamic Authorization Client ISE","Forwarding your request to Dynamic Authorization Client in ISE.","Debug"
"11212","Dynamic-Authorization","Forwarding your request to Network Access Device","Forwarding your request to Network Access Device.","Debug"
"11213","Dynamic-Authorization","No response received from Network Access Device","No response received from Network Access Device.","Warn"
"11214","Dynamic-Authorization","An invalid response received from Network Access Device","An invalid response received from Network Access Device.","Warn"
"11215","Dynamic-Authorization","No response has been received from Dynamic Authorization Client in ISE","No response has been received from Dynamic Authorization Client in ISE.","Warn"
"11216","Dynamic-Authorization","The Internal Proxy PAC generation has failed","The Internal Proxy PAC generation has failed.","Error"
"11217","Dynamic-Authorization","Prepared the disconnect dynamic authorization request","Prepared the disconnect dynamic authorization request.","Debug"
"11218","Dynamic-Authorization","Prepared the disconnect and port shutdown dynamic authorization request","Prepared the disconnect and port shutdown dynamic authorization request.","Debug"
"11219","Dynamic-Authorization","Prepared the disconnect and port bounce dynamic authorization request","Prepared the disconnect and port bounce dynamic authorization request.","Debug"
"11220","Dynamic-Authorization","Prepared the reauthenticate request","Prepared the reauthenticate request.","Debug"
"11221","Dynamic-Authorization","Received a disconnect dynamic authorization ACK response","Received a disconnect dynamic authorization ACK response.","Debug"
"11222","Dynamic-Authorization","Received a disconnect dynamic authorization NAK response","Received a disconnect dynamic authorization NAK response.","Debug"
"11223","Dynamic-Authorization","Received a dynamic authorization CoA ACK response","Received a dynamic authorization CoA ACK response.","Debug"
"11224","Dynamic-Authorization","Received a dynamic authorization CoA NAK response","Received a dynamic authorization CoA NAK response.","Debug"
"11225","Dynamic-Authorization","The dynamic authorization request was rejected due to a critical logging error","The dynamic authorization request was rejected due to a critical logging error.","Info"
"11226","Dynamic-Authorization","ISE Proxy Node, functioning as Dynamic Authorization Client, is deregistered from the deployment","ISE Proxy Node, functioning as Dynamic Authorization Client, is deregistered from the deployment.","Error"
"11227","Dynamic-Authorization","ISE Proxy Node, functioning as Dynamic Authorization Client, is marked as inactive in the deployment","ISE Proxy Node, functioning as Dynamic Authorization Client, is marked as inactive in the deployment.","Error"
"11227","Dynamic-Authorization","ISE Proxy Node, functioning as Dynamic Authorization Client, is marked as inactive in the deployment","ISE Proxy Node, functioning as Dynamic Authorization Client, is marked as inactive in the deployment.","Error"
"11300","SGA","Could not locate SGA Device","Could not find an SGA device using the SGA ID.","Warn"
"11301","SGA","SGA Device found","Could not find an SGA device using the SGA ID.","Info"
"11302","RADIUS","Received Secure RADIUS request without a cts-pac-opaque cisco-av-pair attribute","The request does not have a cisco-av-pair attribute starting with the value cts-pac-opaque. This value is a required attribute for Secure RADIUS requests.","Warn"
"11303","RADIUS","Could not parse the cts-pac-opaque attribute","The cts-pac-opaque cisco-av-pair attribute contained in the Secure RADIUS request did not parse.","Warn"
"11304","SGA","Could not retrieve requested Security Group Tag","The request for a Security Group Tag contains a non-exist value.","Warn"
"11305","SGA","Could not retrieve requested Security Group ACL","The request for a Security Group ACL contains a non-exist value.","Info"
"11306","RADIUS","PAC has expired","The PAC received in the cts-pac-opaque RADIUS attribute has expired.","Warn"
"11307","RADIUS","Incorrect RADIUS CHAP attribute","Incorrect RADIUS CHAP attribute.","Error"
"11308","RADIUS","Incorrect RADIUS MS-CHAP v1 attribute","Incorrect RADIUS MS-CHAP v1 attribute.","Error"
"11309","RADIUS","Incorrect RADIUS MS-CHAP v2 attribute","Incorrect RADIUS MS-CHAP v2 attribute.","Error"
"11310","SGA","Sent Security Group Access Control List to client","Successfully sent the Security Group Access Control List to the client.","Debug"
"11311","SGA","Failed to locate ACE of Security Group Access Control List","Failed to locate the ACE number in the Security Group Access Control List.","Debug"
"11312","SGA","Sent fragmented Security Group Access Control List data to client; awaiting follow-up request to download remaining ACEs","Successfully sent fragmented Security Group Access Control List data to the client.","Debug"
"11320","SGA","Sent fragmented Environment data to client; awaiting follow-up request to download remaining data","Successfully sent fragmented Environment data to the client.","Debug"
"11350","RADIUS-Proxy","Detected proxy loop; dropping request","ISE has detected a proxy loop, because the IP address of this ISE server is already present in the sequence of RADIUS proxy servers that have forwarded this RADIUS request. In order to avoid the senseless further forwarding of this request in an endless proxy loop, ISE has dropped this request.","Warn"
"11351","RADIUS-Proxy","Failed to read RADIUS server sequence configuration; dropping request","ISE detected an error when trying to read the RADIUS server sequence configuration. Dropping the request.","Warn"
"11352","RADIUS-Proxy","Response Proxy-State attribute validation failed","Response Proxy-State attribute must contain this ISE stamp to allow verification that the response from external RADIUS server matches the request sent to it. Verification failed. Dropping the request.","Warn"
"11353","RADIUS-Proxy","No more external RADIUS servers; can't perform failover","Failover is not possible because no more external RADIUS servers are configured. Dropping the request.","Warn"
"11354","RADIUS-Proxy","Accounting request received but neither local nor remote accounting is configured","An accounting request was received; however, neither local nor remote accounting is configured.","Warn"
"11355","RADIUS-Proxy","Start forwarding request to remote RADIUS server","The request is being forwarded to the next remote RADIUS server from the list configured for the selected ISE proxy service.","Info"
"11356","RADIUS-Proxy","Failed to forward request to current remote RADIUS server","Current remote RADIUS server has failed to process the forwarded request due to any of the following reasons: The remote RADIUS server is down; The remote RADIUS server is not configured properly; The remote RADIUS server dropped the request.","Warn"
"11357","RADIUS-Proxy","Successfully forwarded request to current remote RADIUS server","Current remote RADIUS server successfully processed the forwarded request and replied with a valid response, which is being forwarded back to the NAS.","Info"
"11358","RADIUS-Proxy","Received request for RADIUS server sequence.","The RADIUS server sequence has received an incoming request. Validating the request and preparing to forward it to a configured external RADIUS server.","Info"
"11359","RADIUS-Proxy","Failed to forward request to current remote RADIUS server; an invalid response was received","The current remote RADIUS server has replied with an invalid response that would be forwarded to the next remote RADIUS server, if available.","Info"
"11360","RADIUS-Proxy","RADIUS server sequence failed to validate incoming request","RADIUS server sequence failed to validate the incoming request.","Warn"
"11361","RADIUS-Proxy","Valid incoming authentication request","The RADIUS server sequence has received a valid incoming authentication request.","Info"
"11362","RADIUS-Proxy","Valid incoming accounting request","The RADIUS server sequence has received a valid incoming accounting request.","Info"
"11363","RADIUS-Proxy","RADIUS server sequence performing local accounting","The RADIUS server sequence is performing a local accounting based on the incoming accounting request received.","Info"
"11364","RADIUS-Proxy","RADIUS server sequence performing remote accounting","The RADIUS server sequence is performing a remote accounting based on the incoming accounting request received.","Info"
"11365","RADIUS-Proxy","Modify attributes before sending request to external radius server","The RADIUS server sequence is modifying attributes before sending request to external radius server.","Info"
"11366","RADIUS-Proxy","Modify attributes before sending RADIUS Access-Accept","The RADIUS server sequence is modify attributes before sending RADIUS-accept.","Info"
"11367","RADIUS-Proxy","Could not add attribute(s) since attribute already exist","Could not add attribute(s) to the request since attribute already exist and the attribute is not multiple allowed.","Info"
"11368","RADIUS-Proxy","Please review logs on the External RADIUS Server to determine the precise failure reason","Please review logs on the External RADIUS Server to determine the precise failure reason.","Debug"
"11400","EAP","EAP-MSCHAP password change not allowed by the Allowed Protocols","The attempt to change the password failed because password change for the MS-CHAPv2 inner method is disabled in Allowed Protocols.","Warn"
"11401","EAP","Prepared RADIUS Access-Reject after the successful in-band PAC provisioning","As part of the standard in-band PAC provisioning behavior, a result of EAP-Failure and RADIUS Access-Reject will be returned, even when the PAC request was successfully approved. This admittedly-misleading result value is nevertheless normal, does not truly imply a failure, and can/should be safely ignored. (Most likely, the ISE logs will show a subsequent EAP-FAST conversation for this user attempting to actually authenticate using the PAC that was currently provisioned.)","Info"
"11402","EAP","EAP-GTC password change not allowed by the Allowed Protocols","The attempt to change the password failed because the relevant Allowed Protocols does not allow password change for the EAP-GTC inner method.","Warn"
"11500","EAP","Invalid or unexpected EAP payload received","Internal error, possibly in the supplicant: Could not validate an EAP payload.","Warn"
"11501","EAP","Invalid EAP payload","Internal error, possibly in the supplicant: Could not validate an EAP payload.","Warn"
"11502","EAP","EAP packet contains invalid type","Internal error, possibly in the supplicant: The EAP packet contains an invalid EAP type; Could not find a corresponding protocol handler.","Warn"
"11503","EAP","Prepared EAP-Success","Created an EAP-Success packet, to be attached to a RADIUS message.","Info"
"11504","EAP","Prepared EAP-Failure","Created an EAP-Failure packet, to be attached to a RADIUS message.","Info"
"11506","EAP","Prepared EAP-Request/Identity","Created an EAP-Request/Identity packet, to be attached to a RADIUS message.","Info"
"11507","EAP","Extracted EAP-Response/Identity","Extracted an EAP-Response/Identity packet from the RADIUS message.","Info"
"11508","EAP","EAP-Response/Identity contains invalid identity data","As part of fallback processing due to an invalid PAC, the inner method extracted an EAP-Response/Identity packet. Since this packet's identity data does not match the originally received identity, it is considered as invalid.","Warn"
"11509","EAP","Allowed Protocols does not allow any EAP protocols","EAP-negotiation failed because the Allowed Protocols has no EAP-based protocols enabled.","Warn"
"11510","EAP","Invalid EAP-Response/NAK; EAP-negotiation failed","An EAP-Response/NAK packet that did not pass validation was extracted from the RADIUS message an EAP-Response. Owing to this, EAP-negotiation failed.","Warn"
"11511","EAP","Extracted EAP-Response/NAK packet not requesting any EAP protocols; EAP-negotiation failed","An invalid EAP-Response/NAK packet was extracted from the RADIUS message. This packet rejected the EAP-based protocol that was proposed earlier. However, it is not requesting any other protocols, based on the configuration of the client's supplicant.","Warn"
"11512","EAP","Extracted EAP-Response/NAK packet requesting to use unsupported EAP protocol; EAP-negotiation failed","Extracted from the RADIUS message an EAP-Response/NAK packet, rejecting the previously-proposed EAP-based protocol, and requesting to use another protocol instead, per the configuration of the client's supplicant. However, the requested EAP-based protocol is currently not supported by ISE.","Info"
"11513","EAP","Extracted second EAP-Response/NAK in current EAP conversation; failed to negotiate EAP","For the second time in the current EAP conversation, extracted from the RADIUS message an EAP-Response/NAK packet rejecting the previously-proposed EAP-based protocol.","Warn"
"11514","EAP","Unexpectedly received empty TLS message; treating as a rejection by the client","While trying to negotiate a TLS handshake with the client, ISE expected to receive a non-empty TLS message or TLS alert message, but instead received an empty TLS message. This could be due to an inconformity in the implementation of the protocol between ISE and the supplicant. For example, it is a known issue that the XP supplicant sends an empty TLS message instead of a non-empty TLS alert message. It might also involve the supplicant not trusting the ISE server certificate for some reason. ISE treated the unexpected message as a sign that the client rejected the tunnel establishment.","Warn"
"11515","EAP","Invalid EAP-Response/NAK; inner EAP-negotiation failed","From the EAP-Response packet encountered in the outer EAP method, extracted an EAP-Response/NAK packet that failed to pass validation. Negotiation of the inner EAP method failed.","Warn"
"11516","EAP","Extracted EAP-Response/NAK packet not requesting any EAP protocols for inner EAP method; inner EAP-negotiation failed","From the EAP-Response packet encountered in the outer EAP method, extracted an EAP-Response/NAK packet rejecting the EAP-based protocol previously proposed for the inner EAP method, but -- per the configuration of the client's supplicant -- not requesting any other protocols. Negotiation of the inner EAP method failed.","Warn"
"11517","EAP","Extracted EAP-Response/NAK packet requesting to use unsupported inner EAP protocol; inner EAP-negotiation failed","From the EAP-Response packet encountered in the outer EAP method, extracted an EAP-Response/NAK packet rejecting the EAP-based protocol previously proposed for the inner EAP method, and requesting to use another protocol instead, per the configuration of the client's supplicant. However, the requested inner EAP-based protocol is currently not supported by ISE. Negotiation of the inner EAP method failed.","Warn"
"11518","EAP","Extracted second EAP-Response/NAK in current inner EAP conversation; inner EAP-negotiation failed","For the second time in the current inner EAP conversation, extracted from the EAP-Response packet in the outer EAP method an EAP-Response/NAK packet rejecting the EAP-based protocol previously proposed for the inner EAP method. Negotiation of the inner EAP method failed.","Warn"
"11519","EAP","Prepared EAP-Success for inner EAP method","Created an EAP-Success packet, for encapsulation within the outer EAP method's outgoing EAP-Request packet, and for ultimate attachment to a RADIUS message.","Info"
